Approach,Prediction Horizon,Patient,Day,Hour,RMSE
dietitian,9,001,5,3,5.222739550507207
dietitian,9,001,5,4,3.9668462898047947
dietitian,9,001,5,5,4.390545482387008
dietitian,9,001,5,6,70.87639700207858
dietitian,9,001,5,7,33.98467443768303
dietitian,9,001,5,8,55.115285951000025
dietitian,9,001,5,9,24.481691000111688
dietitian,9,001,5,10,42.704857218213164
dietitian,9,001,5,11,7.666193768527912
dietitian,9,001,5,12,23.691805000190275
dietitian,9,001,5,13,34.60617991341121
dietitian,9,001,5,14,27.338959685124248
dietitian,9,001,5,15,19.74325316452533
dietitian,9,001,5,16,9.389262691908389
dietitian,9,001,5,17,39.51645743620998
dietitian,9,001,5,18,59.58150532569697
dietitian,9,001,5,19,37.998513375691516
dietitian,9,001,5,20,30.623917522103618
dietitian,9,001,5,21,23.067738653313683
dietitian,9,001,5,22,24.38063707170994
dietitian,9,001,5,23,15.384613587426468
dietitian,9,001,6,0,11.286929291253559
dietitian,9,001,6,1,6.260242851157482
dietitian,9,001,6,2,7.21147999456826
dietitian,9,001,6,3,5.964836015762878
dietitian,9,001,6,4,12.89053091139761
dietitian,9,001,6,5,8.040517281000495
dietitian,9,001,6,6,52.04667581973432
dietitian,9,001,6,7,53.940294640684705
dietitian,9,001,6,8,24.33560304410653
dietitian,9,001,6,9,31.812456165671172
dietitian,9,001,6,10,17.06916976545679
dietitian,9,001,6,11,20.348559653344285
dietitian,9,001,6,12,17.135947197123397
dietitian,9,001,6,13,13.278590658380995
dietitian,9,001,6,14,13.268761619413938
dietitian,9,001,6,15,17.700410156605454
dietitian,9,001,6,16,12.060177883088942
dietitian,9,002,4,0,29.919371155288978
dietitian,9,002,4,1,26.98303756295043
dietitian,9,002,4,2,17.57149362398432
dietitian,9,002,4,3,7.710694405806099
dietitian,9,002,4,4,9.255828707492425
dietitian,9,002,4,5,9.171064806177133
dietitian,9,002,4,6,8.438354264834159
dietitian,9,002,4,7,87.59392950882365
dietitian,9,002,4,8,35.46053262233422
dietitian,9,002,4,9,35.14880863636796
dietitian,9,002,4,10,88.50690120318858
dietitian,9,002,4,11,21.16000300928206
dietitian,9,002,4,12,52.27842456596557
dietitian,9,002,4,13,36.27541657103745
dietitian,9,002,4,14,18.678381164422362
dietitian,9,002,4,15,21.39743917582527
dietitian,9,002,4,16,9.03917270138698
dietitian,9,002,4,17,48.23849487162735
dietitian,9,002,4,18,15.083134721323203
dietitian,9,002,4,19,34.17925931485895
dietitian,9,002,4,20,19.57809980414814
dietitian,9,002,4,21,68.64031133169212
dietitian,9,002,4,22,38.71486628433522
dietitian,9,002,4,23,10.349924772399875
dietitian,9,002,5,0,32.532644836782744
dietitian,9,002,5,1,17.050646223148842
dietitian,9,002,5,2,15.433143415357495
dietitian,9,002,5,3,5.874407775438088
dietitian,9,002,5,4,4.421579147259838
dietitian,9,002,5,5,13.383113967645247
dietitian,9,002,5,6,54.18752022166732
dietitian,9,002,5,7,59.68038595517345
dietitian,9,002,5,8,21.235798837511187
dietitian,9,002,5,9,20.456582251934172
dietitian,9,002,5,10,39.42221696791265
dietitian,9,004,4,0,33.62507365034727
dietitian,9,004,4,1,43.04206898057804
dietitian,9,004,4,2,48.56668247656528
dietitian,9,004,4,3,27.947563000402678
dietitian,9,004,4,4,33.09054757044681
dietitian,9,004,4,5,50.18582080281167
dietitian,9,004,4,6,94.1894419133125
dietitian,9,004,4,7,76.39329605800567
dietitian,9,004,4,8,64.23072618966279
dietitian,9,004,4,9,40.89411906986688
dietitian,9,004,4,10,75.64430388022429
dietitian,9,004,4,11,48.85706326531977
dietitian,9,004,4,12,92.24519246692356
dietitian,9,004,4,13,70.78516612956597
dietitian,9,004,4,14,9.329456786160149
dietitian,9,004,4,15,60.243812673471055
dietitian,9,004,4,16,49.88431805734703
dietitian,9,006,4,0,10.024463964213451
dietitian,9,006,4,1,1.9701161561456824
